GEOID,NAME,POPULATION
51069,"Frederick County, Virginia",93717
51085,"Hanover County, Virginia",111603
51087,"Henrico County, Virginia",333554
51095,"James City County, Virginia",79882
51107,"Loudoun County, Virginia",427592
51121,"Montgomery County, Virginia",98473
51153,"Prince William County, Virginia",484472
51161,"Roanoke County, Virginia",96589
51165,"Rockingham County, Virginia",84394
51177,"Spotsylvania County, Virginia",143676
51179,"Stafford County, Virginia",160877
51199,"York County, Virginia",70915
51510,"Alexandria city, Virginia",154706
51550,"Chesapeake city, Virginia",251269
51650,"Hampton city, Virginia",137746
51680,"Lynchburg city, Virginia",79009
51700,"Newport News city, Virginia",184587
51710,"Norfolk city, Virginia",235089
51740,"Portsmouth city, Virginia",97840
51760,"Richmond city, Virginia",226604
51770,"Roanoke city, Virginia",98865
51800,"Suffolk city, Virginia",96194
51810,"Virginia Beach city, Virginia",457672
53005,"Benton County, Washington",210025
53007,"Chelan County, Washington",79646
53009,"Clallam County, Washington",78209
53011,"Clark County, Washington",511404
53015,"Cowlitz County, Washington",111524
53021,"Franklin County, Washington",98268
53025,"Grant County, Washington",100297
53027,"Grays Harbor County, Washington",76841
53029,"Island County, Washington",87432
53033,"King County, Washington",2252305
53035,"Kitsap County, Washington",274314
53041,"Lewis County, Washington",84398
53045,"Mason County, Washington",67615
53053,"Pierce County, Washington",925708
53057,"Skagit County, Washington",130696
53061,"Snohomish County, Washington",833540
53063,"Spokane County, Washington",546040
53067,"Thurston County, Washington",297977
53073,"Whatcom County, Washington",228831
53077,"Yakima County, Washington",256035
54003,"Berkeley County, West Virginia",126069
54011,"Cabell County, West Virginia",93418
54033,"Harrison County, West Virginia",65158
54039,"Kanawha County, West Virginia",177952
54061,"Monongalia County, West Virginia",106387
54081,"Raleigh County, West Virginia",73771
54107,"Wood County, West Virginia",83624
55009,"Brown County, Wisconsin",269591
55017,"Chippewa County, Wisconsin",66865
55025,"Dane County, Wisconsin",563951
55027,"Dodge County, Wisconsin",89313
55035,"Eau Claire County, Wisconsin",106452
55039,"Fond du Lac County, Wisconsin",104362
55055,"Jefferson County, Wisconsin",84943
55059,"Kenosha County, Wisconsin",168732
55063,"La Crosse County, Wisconsin",120433
55071,"Manitowoc County, Wisconsin",81505
55073,"Marathon County, Wisconsin",137648
55079,"Milwaukee County, Wisconsin",928059
55087,"Outagamie County, Wisconsin",191545
55089,"Ozaukee County, Wisconsin",92497
55097,"Portage County, Wisconsin",70468
55101,"Racine County, Wisconsin",196896
55105,"Rock County, Wisconsin",164381
55109,"St. Croix County, Wisconsin",95044
55111,"Sauk County, Wisconsin",65697
55117,"Sheboygan County, Wisconsin",117747
55127,"Walworth County, Wisconsin",106799
55131,"Washington County, Wisconsin",137175
55133,"Waukesha County, Wisconsin",408756
55139,"Winnebago County, Wisconsin",171623
55141,"Wood County, Wisconsin",74070
56021,"Laramie County, Wyoming",100863
56025,"Natrona County, Wyoming",79555
72013,"Arecibo Municipio, Puerto Rico",87053
72021,"Bayamón Municipio, Puerto Rico",182673
72025,"Caguas Municipio, Puerto Rico",126756
72031,"Carolina Municipio, Puerto Rico",152993
72061,"Guaynabo Municipio, Puerto Rico",89195
72097,"Mayagüez Municipio, Puerto Rico",71939
72113,"Ponce Municipio, Puerto Rico",135084
72127,"San Juan Municipio, Puerto Rico",337300
72135,"Toa Alta Municipio, Puerto Rico",67569
72137,"Toa Baja Municipio, Puerto Rico",74368
72139,"Trujillo Alto Municipio, Puerto Rico",67211
