GEOID,NAME,POPULATION
13215,"Muscogee County, Georgia",205617
13217,"Newton County, Georgia",115355
13223,"Paulding County, Georgia",173780
13245,"Richmond County, Georgia",205673
13247,"Rockdale County, Georgia",94082
13255,"Spalding County, Georgia",67909
13285,"Troup County, Georgia",69720
13295,"Walker County, Georgia",68510
13297,"Walton County, Georgia",99853
13313,"Whitfield County, Georgia",102848
15001,"Hawaii County, Hawaii",202906
15003,"Honolulu County, Hawaii",1000890
15007,"Kauai County, Hawaii",73454
15009,"Maui County, Hawaii",164268
16001,"Ada County, Idaho",511931
16005,"Bannock County, Idaho",88263
16019,"Bonneville County, Idaho",127930
16027,"Canyon County, Idaho",243115
16055,"Kootenai County, Idaho",179789
16083,"Twin Falls County, Idaho",92243
17019,"Champaign County, Illinois",205943
17031,"Cook County, Illinois",5173146
17037,"DeKalb County, Illinois",100414
17043,"DuPage County, Illinois",924885
17089,"Kane County, Illinois",515588
17091,"Kankakee County, Illinois",106601
17093,"Kendall County, Illinois",134867
17097,"Lake County, Illinois",711239
17099,"LaSalle County, Illinois",108965
17111,"McHenry County, Illinois",311122
17113,"McLean County, Illinois",170889
17115,"Macon County, Illinois",102432
17119,"Madison County, Illinois",264490
17143,"Peoria County, Illinois",179432
17161,"Rock Island County, Illinois",142909
17163,"St. Clair County, Illinois",254796
17167,"Sangamon County, Illinois",194734
17179,"Tazewell County, Illinois",130413
17183,"Vermilion County, Illinois",73095
17197,"Will County, Illinois",697252
17199,"Williamson County, Illinois",66879
17201,"Winnebago County, Illinois",283119
18003,"Allen County, Indiana",388608
18005,"Bartholomew County, Indiana",82475
18011,"Boone County, Indiana",73052
18019,"Clark County, Indiana",122738
18035,"Delaware County, Indiana",111871
18039,"Elkhart County, Indiana",206921
18043,"Floyd County, Indiana",80454
18053,"Grant County, Indiana",66263
18057,"Hamilton County, Indiana",356650
18059,"Hancock County, Indiana",81789
18063,"Hendricks County, Indiana",179355
18067,"Howard County, Indiana",83687
18081,"Johnson County, Indiana",164298
18085,"Kosciusko County, Indiana",80106
18089,"Lake County, Indiana",498558
18091,"LaPorte County, Indiana",112390
18095,"Madison County, Indiana",130782
18097,"Marion County, Indiana",971102
18105,"Monroe County, Indiana",139875
18109,"Morgan County, Indiana",72206
18127,"Porter County, Indiana",174243
18141,"St. Joseph County, Indiana",272212
18157,"Tippecanoe County, Indiana",187076
18163,"Vanderburgh County, Indiana",179987
18167,"Vigo County, Indiana",105994
18177,"Wayne County, Indiana",66456
19013,"Black Hawk County, Iowa",130368
19049,"Dallas County, Iowa",103796
19061,"Dubuque County, Iowa",98718
19103,"Johnson County, Iowa",154748
19113,"Linn County, Iowa",228939
19153,"Polk County, Iowa",496844
19155,"Pottawattamie County, Iowa",93304
19163,"Scott County, Iowa",174170
19169,"Story County, Iowa",99472
19193,"Woodbury County, Iowa",105607
20015,"Butler County, Kansas",67889
20045,"Douglas County, Kansas",119363
20091,"Johnson County, Kansas",613219
20103,"Leavenworth County, Kansas",82184
20161,"Riley County, Kansas",72208
20173,"Sedgwick County, Kansas",523828
20177,"Shawnee County, Kansas",178264
20209,"Wyandotte County, Kansas",167046
21015,"Boone County, Kentucky",137412
21029,"Bullitt County, Kentucky",82918
21037,"Campbell County, Kentucky",93050
21047,"Christian County, Kentucky",72357
21059,"Daviess County, Kentucky",103063
21067,"Fayette County, Kentucky",321793
21093,"Hardin County, Kentucky",111607
21111,"Jefferson County, Kentucky",777874
21117,"Kenton County, Kentucky",169495
21145,"McCracken County, Kentucky",67454
21151,"Madison County, Kentucky",94666
21185,"Oldham County, Kentucky",68685
21199,"Pulaski County, Kentucky",65423
21227,"Warren County, Kentucky",137212
22005,"Ascension Parish, Louisiana",128369
22015,"Bossier Parish, Louisiana",129144
22017,"Caddo Parish, Louisiana",233092
22019,"Calcasieu Parish, Louisiana",205282
22033,"East Baton Rouge Parish, Louisiana",453301
22045,"Iberia Parish, Louisiana",68975
22051,"Jefferson Parish, Louisiana",433688
22055,"Lafayette Parish, Louisiana",244205
22057,"Lafourche Parish, Louisiana",97504
22063,"Livingston Parish, Louisiana",145830
22071,"Orleans Parish, Louisiana",376971
22073,"Ouachita Parish, Louisiana",158768
22079,"Rapides Parish, Louisiana",128654
22097,"St. Landry Parish, Louisiana",82071
22103,"St. Tammany Parish, Louisiana",269388
22105,"Tangipahoa Parish, Louisiana",135217
22109,"Terrebonne Parish, Louisiana",108708
23001,"Androscoggin County, Maine",111034
23003,"Aroostook County, Maine",66859
23005,"Cumberland County, Maine",305231
23011,"Kennebec County, Maine",124486
23019,"Penobscot County, Maine",152765
23031,"York County, Maine",214591
24001,"Allegany County, Maryland",67729
24003,"Anne Arundel County, Maryland",590336
24005,"Baltimore County, Maryland",849316
24009,"Calvert County, Maryland",93928
24013,"Carroll County, Maryland",173873
24015,"Cecil County, Maryland",103905
24017,"Charles County, Maryland",168698
24021,"Frederick County, Maryland",279835
24025,"Harford County, Maryland",262977
24027,"Howard County, Maryland",334529
24031,"Montgomery County, Maryland",1054827
24033,"Prince George's County, Maryland",955306
24037,"St. Mary's County, Maryland",114468
24043,"Washington County, Maryland",154937
24045,"Wicomico County, Maryland",103980
24510,"Baltimore city, Maryland",576498
25001,"Barnstable County, Massachusetts",232411
25003,"Berkshire County, Massachusetts",128657
25005,"Bristol County, Massachusetts",580164
25009,"Essex County, Massachusetts",807074
25011,"Franklin County, Massachusetts",71015
25013,"Hampden County, Massachusetts",462718
25015,"Hampshire County, Massachusetts",161572
25017,"Middlesex County, Massachusetts",1614742
25021,"Norfolk County, Massachusetts",724505
25023,"Plymouth County, Massachusetts",533003
25025,"Suffolk County, Massachusetts",771245
25027,"Worcester County, Massachusetts",862029
26005,"Allegan County, Michigan",120950
26017,"Bay County, Michigan",102985
26021,"Berrien County, Michigan",153101
26025,"Calhoun County, Michigan",133819
